query_id,query,n_exact_gt,product_id,product_title,esci_label,type,pred_rank,precision,recall,f1,latency_ms
2,!qscreen fence without holes,10,B01N4AMZ8Y,"Houseables Plastic Mesh Fence, Construction Barrier Netting, Green, 4'x100' Feet, 1 Roll, Garden Fencing, Fences Wrap, Above Ground, for Snow, Poultry, Chicken, Safety, Deer, Patio, Garden Netting",S,FP,1,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B001OJXVKW,Windscreen4less Heavy Duty Privacy Screen Fence in Color Solid Black 6' x 50' Brass Grommets 150 GSM - Customized,E,TP,2,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07L6W8HBL,CandyHome Green Anti Bird Protection Net Mesh Garden Plant Netting Protect Seedlings Plants Flowers Fruit Trees Vegetables from Rodents Birds Deer Reusable Fencing (13Ft x 33Ft),I,FP,3,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B018JYCBWI,"Zippity Outdoor Products ZP19008 Wilmington Vinyl Privacy Screen, 36"" x 48"" White , 2- Pack",I,FP,4,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B0772GCNSR,"Homelegance Carlow Velvet Upholstered Panel Bed , King, Gray",I,FP,5,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07MFP4PPQ,"Sunnyglade 6 feet x 50 feet Privacy Screen Fence Heavy Duty Fencing Mesh Shade Net Cover for Wall Garden Yard Backyard (6 ft X 50 ft, Green)",E,TP,6,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B078TL7LJ2,"MAGZO Magnetic Screen Door Fit Door Size 38 x 82, Reinforced Fiberglass Mesh Curtain Back Door Mesh with Full Frame Hook&Loop-Grey",I,FP,7,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07R3TNQDM,"Amgo 6' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)",E,TP,8,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07DS1YCRZ,ColourTree 4' x 50' Green Fence Privacy Screen Windscreen Cover Fabric Shade Tarp Netting Mesh Cloth - Commercial Grade 170 GSM - Cable Zip Ties Included - We Make Custom Size,S,FP,9,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07DS3J3MB,ColourTree 6' x 50' Black Fence Privacy Screen Windscreen Cover Fabric Shade Tarp Netting Mesh Cloth - Commercial Grade 170 GSM - Cable Zip Ties Included - We Make Custom Size,S,FP,10,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B08NG85RHL,Orgrimmar Green 6’x50’ Fence Privacy Screen Heavy Duty Garden Fence Mesh Shade Net Cover for Outdoor Wall Porch Patio Backyard Balcony,E,FN,,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B0019Y6TTC,Garden Creations JB4710 Extendable Instant Fence,E,FN,,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07DHX8YH2,"Zippity Outdoor Products ZP19026 Lightweight Portable Vinyl Picket Fence Kit w/Metal Base(42"" H x 92"" W), White",E,FN,,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B018JYCD80,"Zippity Outdoor Products ZP19001 No Dig Madison Vinyl Picket Fence, White, 30"" x 56"" (1 Box, 2 Panels), 1 x Pack of 2",E,FN,,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B077Z8Z8D8,"DAP INC 18741 Platinum 16OZ Patch Filler, 16.0 Fl Oz, White",E,FN,,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B01EYHHO2G,"Zippity Outdoor Products ZP19014 Premium Vinyl Privacy Screen, 48""W x 48""H (Unassembled), White",E,FN,,0.3,0.3,0.3,2939.61
2,!qscreen fence without holes,10,B07R6P8TK8,"Amgo 4' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)",E,FN,,0.3,0.3,0.3,2939.61
12,#1 black natural hair dye without ammonia or peroxide,22,B000GWJ43G,"Herbatint Permanent Haircolor Gel, 1N Black, 4.56 Ounce",E,TP,1,0.6364,0.6364,0.6364,1080.58
